column,dtype,non_null_pct,n_unique,example_value,description,allowed_values_or_format,rules_and_notes
antal,Int64,94.6,5,1,Antal produkter på orderraden.,Integer ≥ 1,Konverterad till int för korrekt beräkning av intäkter.
betalmetod,str,95.8,14,Kort,Betalningsmetod som användes vid köpet.,Kategorisk text,Standardiserad till konsekventa namn. Nullvärden hanterades.
betyg,float64,49.0,5,2.0,,,
kategori,str,100.0,5,Tillbehör,,,
kund_id,str,100.0,1644,KND-53648,,,
kundtyp,str,100.0,12,Privat,Typ av kund (t.ex. privat eller företag).,Kategorisk text,Standardiserad till konsekventa benämningar.
leveransdatum,datetime64[us],100.0,368,2024-05-22 00:00:00,Datum då ordern levererades.,datetime,Konverterad från sträng till datetime. Ogiltiga datum sattes till NaT.
leveransstatus,str,96.6,14,Levererad,Leveransstatus för ordern.,Kategorisk text,"Standardiserad via regelbaserad textklassificering (t.ex. Levererad, Under transport, Retur)."
leveransstatus_std,str,100.0,4,Levererad,,,
order_id,str,100.0,1657,ORD-2024-00001,Unikt ID för varje order.,Integer,Kan förekomma flera gånger eftersom datasetet är på orderrad-nivå.
orderdatum,datetime64[us],100.0,362,2024-05-19 00:00:00,Datum då ordern skapades.,datetime,Konverterad från sträng till datetime. Blandade datumformat (svenska/engelska månadsnamn) standardiserades.
orderrad_id,str,100.0,2700,ORD-2024-00001-1,Unikt ID för varje orderrad.,Integer,Identifierar datasetets grain (orderrad-nivå). Dubletter identifierades och hanterades.
pris_per_enhet,float64,100.0,16,799.0,Pris per enhet för produkten på orderraden.,"Float, t.ex. 1200.00","Rensad från bokstäver, valutor och symboler samt standardiserad till numeriskt format."
produkt_sku,str,100.0,17,SKU-WC001,,,
produktnamn,str,100.0,17,Webbkamera HD,,,
recension_text,str,49.0,45,Stämmer inte överens med produktbeskrivningen.,,,
recensionsdatum,datetime64[us],49.0,357,2025-12-01 00:00:00,Datum då recensionen lämnades.,datetime,Konverterad från sträng till datetime. Ogiltiga värden sattes till NaT.
region,str,94.4,36,Uppsala,Geografisk region kopplad till ordern.,Kategorisk text,Standardiserad till konsekventa regionnamn. Saknade värden hanterades.
